epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
65,487.549,0.8173,0.51957,1.1806,0.9304,0.91745,0.97302,0.69886,1.11929,0.56713,1.26869,0.003664,0.003664,0.003664
66,495.186,0.79172,0.4903,1.16137,0.95993,0.9902,0.98866,0.76074,0.83152,0.47773,1.06599,0.003565,0.003565,0.003565
67,502.907,0.81622,0.50618,1.18372,0.97899,0.95098,0.9724,0.75352,0.8617,0.46918,1.11271,0.003466,0.003466,0.003466
68,510.449,0.80311,0.50326,1.17613,0.9338,0.95098,0.95425,0.73659,0.81671,0.48734,1.05876,0.003367,0.003367,0.003367
69,518.162,0.79644,0.49103,1.17198,0.93445,0.98039,0.9757,0.70821,0.94045,0.51264,1.16871,0.003268,0.003268,0.003268
70,525.668,0.78939,0.49879,1.16342,0.91352,0.93204,0.94154,0.62122,1.2107,0.56304,1.34025,0.003169,0.003169,0.003169
71,533.194,0.78351,0.4903,1.15308,0.92603,0.90196,0.93843,0.63954,1.24358,0.5721,1.39455,0.00307,0.00307,0.00307
72,541.335,0.76634,0.47683,1.14011,0.96076,0.96018,0.98003,0.6748,1.17368,0.54726,1.28749,0.002971,0.002971,0.002971
73,549.232,0.77847,0.48491,1.15922,0.94945,0.92079,0.94013,0.69472,1.13218,0.50347,1.32184,0.002872,0.002872,0.002872
74,557.18,0.74392,0.45556,1.13334,0.95051,0.96078,0.9816,0.69391,1.09399,0.50791,1.22921,0.002773,0.002773,0.002773
75,565.198,0.73189,0.46538,1.11987,0.99388,0.97059,0.99414,0.7182,1.00523,0.51715,1.15293,0.002674,0.002674,0.002674
76,572.944,0.7266,0.46639,1.13535,0.9406,0.97059,0.97017,0.69749,1.00696,0.48998,1.21339,0.002575,0.002575,0.002575
77,580.776,0.72758,0.47549,1.13529,0.96999,0.94118,0.99039,0.83393,0.66792,0.39125,0.98714,0.002476,0.002476,0.002476
78,588.384,0.70817,0.45248,1.11551,0.9608,0.98039,0.98998,0.79631,0.78572,0.44363,1.07852,0.002377,0.002377,0.002377
79,595.995,0.72607,0.45208,1.13625,0.95424,0.96078,0.97496,0.71339,1.06871,0.53046,1.28073,0.002278,0.002278,0.002278
80,603.678,0.71955,0.45301,1.11236,0.96034,0.94964,0.97118,0.69952,1.01247,0.49731,1.18119,0.002179,0.002179,0.002179
81,611.355,0.72689,0.46391,1.13046,0.9518,0.96793,0.98419,0.80676,0.77608,0.42162,1.06793,0.00208,0.00208,0.00208
